Countries,Number of Games Played,Number of Wins,Number of Losses,Number of Draws,Points,Average Points per Game
Algeria,13,3,7,3,9,0.692
Angola,3,0,1,2,2,0.667
Argentina,77,42,21,14,98,1.273
Australia,13,2,8,3,7,0.538
Austria,29,12,13,4,28,0.966
Belgium,41,14,18,9,37,0.902
Bolivia,6,0,5,1,1,0.167
Bosnia and Herzegovina,3,1,2,0,2,0.667
Brazil,104,70,17,17,157,1.51
Bulgaria,26,3,15,8,14,0.538
Cameroon,23,4,12,7,15,0.652
Canada,3,0,3,0,0,0.0
Chile,33,11,15,7,29,0.879
China PR,3,0,3,0,0,0.0
Colombia,18,7,9,2,16,0.889
Costa Rica,15,5,6,4,14,0.933
Croatia,16,7,7,2,16,1.0
Cuba,3,1,1,1,3,1.0
Czech Republic,33,12,16,5,29,0.879
Denmark,16,8,6,2,18,1.125
Dutch East Indies,1,0,1,0,0,0.0
Ecuador,10,4,5,1,9,0.9
Egypt,4,0,2,2,2,0.5
El Salvador,6,0,6,0,0,0.0
England,62,26,16,20,72,1.161
France,59,28,19,12,68,1.153
Germany,112,68,22,22,158,1.411
Ghana,12,4,5,3,11,0.917
Greece,10,2,6,2,6,0.6
Haiti,3,0,3,0,0,0.0
Honduras,9,0,6,3,3,0.333
Hungary,32,15,14,3,33,1.031
Iran,12,1,8,3,5,0.417
Iraq,3,0,3,0,0,0.0
Israel,3,0,1,2,2,0.667
Italy,83,45,17,21,111,1.337
Ivory Coast,9,3,5,1,7,0.778
Jamaica,3,1,2,0,2,0.667
Japan,17,4,9,4,12,0.706
Korea Republic,38,6,22,10,22,0.579
Kuwait,3,0,2,1,1,0.333
Mexico,53,14,25,14,42,0.792
Morocco,13,2,7,4,8,0.615
Netherlands,50,27,11,12,66,1.32
New Zealand,6,0,3,3,3,0.5
Nigeria,18,5,10,3,13,0.722
Northern Ireland,13,3,5,5,11,0.846
Norway,8,2,3,3,7,0.875
Paraguay,27,7,10,10,24,0.889
Peru,15,4,8,3,11,0.733
Poland,31,15,11,5,35,1.129
Portugal,26,13,9,4,30,1.154
Republic of Ireland,13,2,3,8,12,0.923
Romania,21,8,8,5,21,1.0
Russia,40,17,15,8,42,1.05
Saudi Arabia,13,2,9,2,6,0.462
Scotland,23,4,12,7,15,0.652
Senegal,5,2,1,2,6,1.2
Serbia,6,1,5,0,2,0.333
Slovakia,4,1,2,1,3,0.75
Slovenia,6,1,4,1,3,0.5
South Africa,9,2,3,4,8,0.889
Spain,59,29,18,12,70,1.186
Sweden,46,16,17,13,45,0.978
Switzerland,33,11,16,6,28,0.848
Togo,3,0,3,0,0,0.0
Trinidad and Tobago,3,0,2,1,1,0.333
Tunisia,12,1,7,4,6,0.5
Turkey,10,5,4,1,11,1.1
USA,33,8,19,6,22,0.667
Ukraine,5,2,2,1,5,1.0
United Arab Emirates,3,0,3,0,0,0.0
Uruguay,51,20,19,12,52,1.02
Wales,5,1,1,3,5,1.0
Yugoslavia,37,16,13,8,40,1.081
Zaire,3,0,3,0,0,0.0
