,Year,Datetime,Stage,Stadium,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Results,Winning Team,Win conditions,MatchID,Home Team Initials,Away Team Initials,City Temperature,Home Team Average Temperature,Away Team Average Temperature,Winning Team Average Temperature
0,1930.0,13 Jul 1930 - 15:00 ,Group 1,Pocitos,Montevideo ,France,4.0,1.0,Mexico,H,France, ,1096.0,FRA,MEX,11,13.0,21.0,13.0
1,1954.0,19 Jun 1954 - 17:10 ,Group 1,Charmilles,Geneva ,France,3.0,2.0,Mexico,H,France, ,1275.0,FRA,MEX,23,13.0,21.0,13.0
2,1938.0,05 Jun 1938 - 17:00 ,First round,Stade Olympique,Colombes ,France,3.0,1.0,Belgium,H,France, ,1146.0,FRA,BEL,25,13.0,10.0,13.0
3,1986.0,28 Jun 1986 - 12:00 ,Match for third place,Cuauhtemoc,Puebla ,France,4.0,2.0,Belgium,H,France,France win after extra time ,422.0,FRA,BEL,24,13.0,10.0,13.0
4,1958.0,08 Jun 1958 - 19:00 ,Group 2,Idrottsparken,Norrk�Ping ,France,7.0,3.0,Paraguay,H,France, ,1386.0,FRA,PAR,29,13.0,23.0,13.0
5,1998.0,28 Jun 1998 - 16:30 ,Round of 16,Stade Felix Bollaert,Lens ,France,1.0,0.0,Paraguay,H,France,France win after extra time ,8776.0,FRA,PAR,22,13.0,23.0,13.0
6,1958.0,15 Jun 1958 - 19:00 ,Group 2,Eyravallen,Orebro ,France,2.0,1.0,Scotland,H,France, ,1387.0,FRA,SCO,22,13.0,8.45,13.0
7,1958.0,19 Jun 1958 - 19:00 ,Quarter-finals,Idrottsparken,Norrk�Ping ,France,4.0,0.0,Northern Ireland,H,France, ,1385.0,FRA,NIR,29,13.0,9.3,13.0
8,1982.0,04 Jul 1982 - 17:15 ,Group 4,Vicente Calderon,Madrid ,France,4.0,1.0,Northern Ireland,H,France, ,920.0,FRA,NIR,34,13.0,9.3,13.0
9,1958.0,28 Jun 1958 - 17:00 ,Match for third place,Nya Ullevi,Gothenburg ,France,6.0,3.0,Germany,H,France, ,1382.0,FRA,FRG,21,13.0,9.0,13.0
