Countries,Average Temperature
France,13.0
Romania,10.0
Argentina,15.0
Chile,9.0
Uruguay,17.0
Brazil,25.0
Paraguay,23.0
Austria,7.0
Hungary,11.0
Switzerland,8.0
Sweden,3.0
Germany,9.0
Spain,14.0
Italy,13.0
Cuba,26.0
Turkey,12.0
Mexico,21.0
Portugal,15.0
Peru,20.0
Belgium,10.0
Bulgaria,11.0
Poland,8.0
Australia,22.0
Netherlands,10.0
Haiti,27.0
Tunisia,21.0
Algeria,24.0
Honduras,25.0
Canada,-3.0
Morocco,18.0
Iraq,23.0
Denmark,-16.0
United Arab Emirates,29.0
Costa Rica,26.0
Cameroon,25.0
Colombia,25.0
Norway,1.0
Nigeria,27.0
Saudi Arabia,26.0
Bolivia,21.0
Russia,-3.0
Greece,15.0
Jamaica,26.0
South Africa,17.0
Japan,12.0
Croatia,12.0
Senegal,28.0
Slovenia,10.0
Ecuador,22.0
Angola,22.0
Czech Republic,8.0
Togo,27.0
Iran,19.0
Ghana,27.0
Ukraine,9.0
Serbia,11.0
New Zealand,10.0
Slovakia,8.0
Mexico,21.0
Belgium,10.0
Brazil,25.0
Peru,20.0
France,13.0
Bolivia,21.0
Paraguay,23.0
Romania,10.0
Chile,9.0
Argentina,15.0
Egypt,23.0
Netherlands,10.0
Switzerland,8.0
Sweden,3.0
Spain,14.0
Hungary,11.0
Austria,7.0
Germany,9.0
Norway,1.0
Poland,8.0
Cuba,26.0
Italy,13.0
Turkey,12.0
Uruguay,17.0
Colombia,25.0
Bulgaria,11.0
Portugal,15.0
Israel,20.0
Morocco,18.0
El Salvador,25.0
Australia,22.0
Haiti,27.0
Tunisia,21.0
Iran,19.0
Cameroon,25.0
New Zealand,10.0
Algeria,24.0
Honduras,25.0
Kuwait,26.0
Iraq,23.0
Denmark,-16.0
Canada,-3.0
United Arab Emirates,29.0
Costa Rica,26.0
Saudi Arabia,26.0
Russia,-3.0
Greece,15.0
Nigeria,27.0
South Africa,17.0
Japan,12.0
Croatia,12.0
Jamaica,26.0
Senegal,28.0
Slovenia,10.0
Ecuador,22.0
Czech Republic,8.0
Ghana,27.0
Togo,27.0
Ukraine,9.0
Angola,22.0
Slovakia,8.0
Serbia,11.0
USA,8.55
 Yugoslavia,8.9
 Czechoslovakia,9.85
 England,8.45
 Germany FR,8.5
 Soviet Union,0.0
 Northern Ireland,9.3
 Wales,8.45
 Korea DPR,11.5
 German DR,8.5
 Zaire,21.4
 Scotland,8.45
 Korea Republic,11.5
"Republic of Ireland',",9.3
 China PR,6.95
Trinidad and Tobago,25.75
Serbia and Montenegro,10.55
Ivory Coast,26.35
 IR Iran,17.25
Bosnia and Herzegovina,9.85
 Dutch East Indies,23.65
