Countries,Average Temperature,Latitude,Longtitude,Number of Games Played,Number of Wins,Number of Losses,Number of Draws,Points
Algeria,24.0,28.033886,1.6596259999999998,13,3,7,3,9
Angola,22.0,-11.202691999999999,17.873887,3,0,1,2,2
Argentina,15.0,-38.416097,-63.616671999999994,77,42,21,14,98
Australia,22.0,-25.274398,133.775136,13,2,8,3,7
Austria,7.0,47.516231,14.550072,29,12,13,4,28
Belgium,10.0,50.503887,4.469936,41,14,18,9,37
Bolivia,21.0,-16.290154,-63.588653,6,0,5,1,1
Bosnia and Herzegovina,9.85,43.915886,17.679076000000002,3,1,2,0,2
Brazil,25.0,-14.235004,-51.92528,104,70,17,17,157
Bulgaria,11.0,42.733883,25.48583,26,3,15,8,14
Cameroon,25.0,7.369722,12.354722,23,4,12,7,15
Canada,-3.0,56.130366,-106.34677099999999,3,0,3,0,0
Chile,9.0,-35.675146999999996,-71.542969,33,11,15,7,29
China PR,6.95,35.86166,104.195397,3,0,3,0,0
Colombia,25.0,4.570868,-74.297333,18,7,9,2,16
Costa Rica,26.0,9.748917,-83.753428,15,5,6,4,14
Croatia,12.0,45.1,15.2,16,7,7,2,16
Cuba,26.0,21.521757,-77.78116700000001,3,1,1,1,3
Czech Republic,8.0,49.817492,15.472961999999999,33,12,16,5,29
Denmark,-16.0,56.26392,9.501785,16,8,6,2,18
Dutch East Indies,23.65,20.593684,78.96288,1,0,1,0,0
Ecuador,22.0,-1.8312389999999998,-78.183406,10,4,5,1,9
Egypt,23.0,26.820553000000004,30.802497999999996,4,0,2,2,2
El Salvador,25.0,13.794185,-88.89653,6,0,6,0,0
England,8.45,55.378051,-3.435973,62,26,16,20,72
France,13.0,46.227638,2.213749,59,28,19,12,68
Germany,9.0,51.165690999999995,10.451526,112,68,22,22,158
Ghana,27.0,7.946527000000001,-1.0231940000000002,12,4,5,3,11
Greece,15.0,39.074208,21.824312,10,2,6,2,6
Haiti,27.0,18.971187,-72.28521500000001,3,0,3,0,0
Honduras,25.0,15.199998999999998,-86.241905,9,0,6,3,3
Hungary,11.0,47.162494,19.503304,32,15,14,3,33
Iran,19.0,32.427908,53.68804599999999,12,1,8,3,5
Iraq,23.0,33.223191,43.679291,3,0,3,0,0
Israel,20.0,31.046051000000002,34.851612,3,0,1,2,2
Italy,13.0,41.87194,12.56738,83,45,17,21,111
Ivory Coast,26.35,7.539989,-5.54708,9,3,5,1,7
Jamaica,26.0,18.109581,-77.297508,3,1,2,0,2
Japan,12.0,36.204824,138.252924,17,4,9,4,12
Korea Republic,11.5,35.907757000000004,127.766922,38,6,22,10,22
Kuwait,26.0,29.311659999999996,47.481766,3,0,2,1,1
Mexico,21.0,23.634501,-102.552784,53,14,25,14,42
Morocco,18.0,31.791702,-7.09262,13,2,7,4,8
Netherlands,10.0,52.132633,5.291266,50,27,11,12,66
New Zealand,10.0,-40.900557,174.88597099999998,6,0,3,3,3
Nigeria,27.0,9.081999,8.675277000000001,18,5,10,3,13
Northern Ireland,9.3,53.41291,-8.243889999999999,13,3,5,5,11
Norway,1.0,60.472024,8.468946,8,2,3,3,7
Paraguay,23.0,-23.442503,-58.44383199999999,27,7,10,10,24
Peru,20.0,-9.189967,-75.015152,15,4,8,3,11
Poland,8.0,51.919438,19.145135999999997,31,15,11,5,35
Portugal,15.0,39.399871999999995,-8.224454,26,13,9,4,30
Republic of Ireland,9.3,53.41291,-8.243889999999999,13,2,3,8,12
Romania,10.0,45.943160999999996,24.96676,21,8,8,5,21
Russia,-3.0,61.52401,105.31875600000001,40,17,15,8,42
Saudi Arabia,26.0,23.885942,45.079162,13,2,9,2,6
Scotland,8.45,53.41291,-8.243889999999999,23,4,12,7,15
Senegal,28.0,14.497401000000002,-14.452361999999999,5,2,1,2,6
Serbia,11.0,44.016521000000004,21.005859,6,1,5,0,2
Slovakia,8.0,48.669026,19.699023999999998,4,1,2,1,3
Slovenia,10.0,46.151241,14.995463,6,1,4,1,3
South Africa,17.0,-30.559482,22.937506,9,2,3,4,8
Spain,14.0,40.463667,-3.7492199999999998,59,29,18,12,70
Sweden,3.0,60.128161,18.643501,46,16,17,13,45
Switzerland,8.0,46.818188,8.227511999999999,33,11,16,6,28
Togo,27.0,8.619543,0.824782,3,0,3,0,0
Trinidad and Tobago,25.75,10.691803,-61.222503,3,0,2,1,1
Tunisia,21.0,33.886917,9.537499,12,1,7,4,6
Turkey,12.0,38.963745,35.243322,10,5,4,1,11
Ukraine,9.0,48.379433,31.16558,5,2,2,1,5
United Arab Emirates,29.0,23.424076,53.847818000000004,3,0,3,0,0
Uruguay,17.0,-32.522779,-55.765834999999996,51,20,19,12,52
USA,8.55,37.09024,-95.712891,33,8,19,6,22
Wales,8.45,55.378051,-3.435973,5,1,1,3,5
Yugoslavia,8.9,44.016521000000004,21.005859,37,16,13,8,40
Zaire,21.4,-1.940278,29.873888,3,0,3,0,0
