Countries,Average Temperature,Latitude,Longtitude
France,13,46.227638,2.213749
Romania,10,45.943161,24.96676
Argentina,15,-38.416097,-63.616672
Chile,9,-35.675147,-71.542969
Uruguay,17,,
Brazil,25,,
Paraguay,23,,
Austria,7,,
Hungary,11,,
Switzerland,8,,
Sweden,3,,
Germany,9,,
Spain,14,,
Italy,13,,
Cuba,26,,
Turkey,12,,
Mexico,21,,
Portugal,15,,
Peru,20,,
Belgium,10,,
Bulgaria,11,,
Poland,8,,
Australia,22,,
Netherlands,10,,
Haiti,27,,
Tunisia,21,,
Algeria,24,,
Honduras,25,,
Canada,-3,,
Morocco,18,,
Iraq,23,,
Denmark,-16,,
United Arab Emirates,29,,
Costa Rica,26,,
Cameroon,25,,
Colombia,25,,
Norway,1,,
Nigeria,27,,
Saudi Arabia,26,,
Bolivia,21,,
Russia,-3,,
Greece,15,,
Jamaica,26,,
South Africa,17,,
Japan,12,,
Croatia,12,,
Senegal,28,,
Slovenia,10,,
Ecuador,22,,
Angola,22,,
Czech Republic,8,,
Togo,27,,
Iran,19,,
Ghana,27,,
Ukraine,9,,
Serbia,11,,
New Zealand,10,,
Slovakia,8,,
Mexico,21,,
Belgium,10,,
Brazil,25,,
Peru,20,,
France,13,,
Bolivia,21,,
Paraguay,23,,
Romania,10,,
Chile,9,,
Argentina,15,,
Egypt,23,,
Netherlands,10,,
Switzerland,8,,
Sweden,3,,
Spain,14,,
Hungary,11,,
Austria,7,,
Germany,9,,
Norway,1,,
Poland,8,,
Cuba,26,,
Italy,13,,
Turkey,12,,
Uruguay,17,,
Colombia,25,,
Bulgaria,11,,
Portugal,15,,
Israel,20,,
Morocco,18,,
El Salvador,25,,
Australia,22,,
Haiti,27,,
Tunisia,21,,
Iran,19,,
Cameroon,25,,
New Zealand,10,,
Algeria,24,,
Honduras,25,,
Kuwait,26,,
Iraq,23,,
Denmark,-16,,
Canada,-3,,
United Arab Emirates,29,,
Costa Rica,26,,
Saudi Arabia,26,,
Russia,-3,,
Greece,15,,
Nigeria,27,,
South Africa,17,,
Japan,12,,
Croatia,12,,
Jamaica,26,,
Senegal,28,,
Slovenia,10,,
Ecuador,22,,
Czech Republic,8,,
Ghana,27,,
Togo,27,,
Ukraine,9,,
Angola,22,,
Slovakia,8,,
Serbia,11,,
USA,8.55,,
 Yugoslavia,8.9,,
 Czechoslovakia,9.85,,
 England,8.45,,
 Germany FR,8.5,,
 Soviet Union,0,,
 Northern Ireland,9.3,,
 Wales,8.45,,
 Korea DPR,11.5,,
 German DR,8.5,,
 Zaire,21.4,,
 Scotland,8.45,,
 Korea Republic,11.5,,
"Republic of Ireland',",9.3,,
 China PR,6.95,,
Trinidad and Tobago,25.75,,
Serbia and Montenegro,10.55,,
Ivory Coast,26.35,,
 IR Iran,17.25,,
Bosnia and Herzegovina,9.85,,
 Dutch East Indies,23.65,,
