,Year,Hosts,Champions,Runners-up,Third place,Fourth place,No. of Teams
1,1930,Uruguay,Uruguay,Argentina,United States,Yugoslavia,13
2,1934,Italy,Italy,Czechoslovakia,Germany,Austria,16
3,1938,France,Italy,Hungary,Brazil,Sweden,15
4,1950,Brazil,Uruguay,Brazil,Sweden,Spain,13
5,1954,Switzerland,West Germany,Hungary,France,Uruguay,16
6,1958,Sweden,Brazil,Sweden,Chile,West Germany,16
7,1962,Chile,Brazil,Czechoslovakia,Portugal,Yugoslavia,16
8,1966,England,England,West Germany,West Germany,Soviet Union,16
9,1970,Mexico,Brazil,Italy,Poland,Uruguay,16
10,1974,West Germany,West Germany,Netherlands,Brazil,Brazil,16
11,1978,Argentina,Argentina,Netherlands,Poland,Italy,16
12,1982,Spain,Italy,West Germany,France,France,24
13,1986,Mexico,Argentina,West Germany,Italy,Belgium,24
14,1990,Italy,West Germany,Argentina,Sweden,England,24
15,1994,United States,Brazil,Italy,Croatia,Bulgaria,24
16,1998,France,France,Brazil,Turkey,Netherlands,32
17,2002,Japan South Korea,Brazil,Germany,Germany,South Korea,32
18,2006,Germany,Italy,France,Germany,Portugal,32
19,2010,South Africa,Spain,Netherlands,Netherlands,Uruguay,32
20,2014,Brazil,Germany,Argentina,Belgium,Brazil,32
21,2018,Russia,France,Croatia,TBD,England,32
